league,date,game,actual,line,postPrediction,edge,overProbability,underProbability,evOver,evUnder,decisionSide,decisionReason,actualSide,correct,profit,draftDelta,draftConfidence,draftSignal,draftSignalReason,topPickEffects
LCK,2026-05-01,HANJIN BRION vs DN SOOPers,31,27.5,28.56,1.06,0.5515,0.4485,-0.0073,-0.1927,,EV baixo,over,,0,0.76,0.746,over,edge valido,JUNGLE Vi +2.28 | TOP Rumble +1.89 | MID Galio -1.35 | JUNGLE Nocturne +1.26 | SUP Alistar +1.05
LCK,2026-05-01,Hanwha Life Esports vs T1,37,30.5,29.72,-0.78,0.462,0.538,-0.1684,-0.0316,,EV baixo,over,,0,-0.46,0.802,neutral,under bloqueado,SUP Karma -2.65 | ADC Miss Fortune -1.45 | MID Azir +1.22 | JUNGLE Nocturne +1.22 | JUNGLE Jarvan IV -0.9
LCK,2026-05-01,Hanwha Life Esports vs T1,26,31.5,31.56,0.06,0.5029,0.4971,-0.0949,-0.1051,,EV baixo,under,,0,0.16,0.671,neutral,delta fraco,JUNGLE Lee Sin +2.05 | TOP Sion +1.63 | ADC Lucian -1.53 | JUNGLE Xin Zhao -1.34 | SUP Milio -0.98
LCK,2026-05-01,T1 vs Hanwha Life Esports,29,29.5,29.81,0.31,0.5151,0.4849,-0.0728,-0.1272,,EV baixo,under,,0,0.38,0.709,neutral,delta fraco,JUNGLE Vi +2.08 | JUNGLE Pantheon -1.48 | SUP Poppy +1.3 | ADC Xayah +0.89 | SUP Rakan +0.5
LCK,2026-05-02,Dplus KIA vs Gen.G,15,27.5,27.46,-0.04,0.4982,0.5018,-0.1032,-0.0968,,EV baixo,under,,0,-0.01,0.812,neutral,under bloqueado,JUNGLE Lee Sin +1.93 | ADC Lucian -1.53 | TOP Sion +1.52 | JUNGLE Xin Zhao -1.2 | MID Ryze -0.78
LCK,2026-05-02,Gen.G vs Dplus KIA,22,26.5,27.17,0.67,0.5325,0.4675,-0.0415,-0.1585,,EV baixo,under,,0,0.59,0.772,over,edge valido,JUNGLE Vi +2.48 | ADC Mel +2.04 | SUP Pyke +2.02 | SUP Seraphine -0.83 | ADC Ashe -0.65
LCK,2026-05-02,Dplus KIA vs Gen.G,19,25.5,25.68,0.18,0.5086,0.4914,-0.0846,-0.1154,,EV baixo,under,,0,-0.24,0.721,neutral,under bloqueado,SUP Karma -1.81 | ADC Sivir +1.78 | MID Orianna -1.07 | MID Sylas +0.67 | JUNGLE Pantheon -0.66
LCK,2026-05-02,Kiwoom DRX vs Nongshim RedForce,32,27.5,27.95,0.45,0.5221,0.4779,-0.0603,-0.1397,,EV baixo,over,,0,0.7,0.825,over,edge valido,JUNGLE Lee Sin +2.25 | SUP Neeko +1.53 | MID Anivia +1.07 | TOP Vayne +0.54 | SUP Seraphine -0.44
LCK,2026-05-02,Kiwoom DRX vs Nongshim RedForce,43,27.5,27.85,0.35,0.5169,0.4831,-0.0695,-0.1305,,EV baixo,over,,0,0.26,0.784,neutral,delta fraco,MID Hwei +2.5 | TOP Sion +1.67 | ADC Lucian -1.42 | SUP Nautilus +0.83 | ADC Yunara +0.79
LCK,2026-05-03,KT Rolster vs HANJIN BRION,39,28.5,27.79,-0.71,0.4654,0.5346,-0.1622,-0.0378,,EV baixo,over,,0,-0.21,0.824,neutral,under bloqueado,MID Mel -1.85 | JUNGLE Lee Sin +1.64 | SUP Elise +1.54 | ADC Ezreal -0.9 | TOP Gnar -0.81
LCK,2026-05-03,HANJIN BRION vs KT Rolster,25,29.5,28.65,-0.85,0.4589,0.5411,-0.1739,-0.0261,,EV baixo,under,,0,-0.67,0.822,neutral,under bloqueado,SUP Seraphine -1.41 | ADC Ashe -1.26 | JUNGLE Xin Zhao -1.22 | SUP Lulu -0.37 | TOP Jayce -0.29
LCK,2026-05-03,BNK FearX vs DN SOOPers,25,27.5,26.34,-1.16,0.444,0.556,-0.2008,0.0008,,EV baixo,under,,0,-0.84,0.833,neutral,under bloqueado,JUNGLE Pantheon -1.52 | SUP Seraphine -1.32 | ADC Lucian -1.29 | ADC Ashe -1.18 | TOP Gnar -0.79
LCK,2026-05-03,BNK FearX vs DN SOOPers,32,27.5,27.26,-0.24,0.4882,0.5118,-0.1212,-0.0788,,EV baixo,over,,0,0.17,0.823,neutral,delta fraco,MID Azir +1.46 | JUNGLE Xin Zhao -0.92 | ADC Ezreal -0.75 | SUP Neeko +0.69 | TOP Ambessa +0.53
LCK,2026-05-06,Nongshim RedForce vs Gen.G,47,27.5,27.66,0.16,0.5076,0.4924,-0.0863,-0.1137,,EV baixo,over,,0,-0.18,0.834,neutral,under bloqueado,TOP Sion +1.47 | JUNGLE Nocturne +1.37 | SUP Seraphine -1.36 | ADC Ashe -1.23 | JUNGLE Xin Zhao -0.98
LCK,2026-05-06,Gen.G vs Nongshim RedForce,34,29.5,28.66,-0.84,0.4599,0.5401,-0.1722,-0.0278,,EV baixo,over,,0,-1.29,0.775,neutral,under bloqueado,SUP Karma -2.8 | JUNGLE Pantheon -2.26 | MID Mel -1.74 | TOP Gnar -1.54 | ADC Miss Fortune -1.29
