league,date,game,actual,prePrediction,preLine,postPrediction,postLine,delta,changedLine,lean,actualSideVsPreLine,correct,draftConfidence,lineAdjustment,signalThreshold,signalReason,topPickEffects
LCK,2026-05-20,Nongshim RedForce vs KT Rolster,25,32.89,32.5,32.22,31.5,-0.67,true,neutral,under,,0.851,-0.68,99,under bloqueado,ADC Lucian -2.07 | JUNGLE Lee Sin +1.96 | MID Ryze -1.87 | SUP Milio -1.6 | SUP Nami -1.58
LCK,2026-05-20,KT Rolster vs Nongshim RedForce,30,32.53,31.5,31.37,30.5,-1.16,true,neutral,under,,0.878,-1.13,99,under bloqueado,JUNGLE Xin Zhao -2.03 | TOP Gnar -1.74 | JUNGLE Jarvan IV -1.29 | SUP Lulu -1.27 | TOP Renekton -1.05
LCK,2026-05-20,KT Rolster vs Nongshim RedForce,33,32.23,31.5,31.53,30.5,-0.7,true,neutral,over,,0.814,-1.13,99,under bloqueado,SUP Bard -1.48 | JUNGLE Pantheon -1.43 | JUNGLE Skarner -1.43 | SUP Karma -0.99 | MID Twisted Fate -0.76
LCK,2026-05-21,BNK FearX vs Hanwha Life Esports,44,31.4,30.5,31.04,30.5,-0.37,false,neutral,over,,0.831,-0.68,99,under bloqueado,JUNGLE Xin Zhao -2.09 | MID Ryze -1.76 | SUP Karma -1 | JUNGLE Vi +0.71 | TOP Rumble +0.6
LCK,2026-05-21,Hanwha Life Esports vs BNK FearX,21,32.38,31.5,30.53,29.5,-1.85,true,neutral,under,,0.837,-0.68,99,under bloqueado,ADC Lucian -2.52 | SUP Seraphine -2.48 | ADC Ashe -2.42 | SUP Milio -2.06 | JUNGLE Pantheon -2.01
LCK,2026-05-21,Dplus KIA vs HANJIN BRION,33,28.89,28.5,28.24,28.5,-0.65,false,neutral,over,,0.863,-0.23,99,under bloqueado,MID Orianna -2.43 | JUNGLE Pantheon -1.69 | SUP Bard -1.58 | JUNGLE Jarvan IV -1.47 | ADC Ezreal -1.26
LCK,2026-05-21,HANJIN BRION vs Dplus KIA,18,29.89,29.5,29.51,29.5,-0.37,false,neutral,under,,0.851,-0.45,99,under bloqueado,SUP Seraphine -2.3 | ADC Ashe -2.24 | JUNGLE Xin Zhao -2.11 | SUP Lux +1.49 | TOP Jayce -0.92
LCK,2026-05-21,HANJIN BRION vs Dplus KIA,20,27.74,28.5,27.56,28.5,-0.17,false,neutral,under,,0.845,0.45,99,under bloqueado,JUNGLE Naafiri +0.83 | TOP Renekton -0.82 | SUP Neeko +0.63 | TOP Illaoi -0.6 | ADC Yunara -0.55
LCK,2026-05-22,DN SOOPers vs Kiwoom DRX,22,27.7,28.5,27.57,28.5,-0.13,false,neutral,under,,0.834,0.9,99,under bloqueado,TOP Rumble +1.7 | ADC Lucian -1.63 | JUNGLE Xin Zhao -1.26 | SUP Milio -1.22 | ADC Miss Fortune +1.02
LCK,2026-05-22,Kiwoom DRX vs DN SOOPers,28,27.09,27.5,27.59,28.5,0.5,true,over,over,true,0.857,0.9,0.5,edge valido,JUNGLE Lee Sin +2.71 | ADC Sivir +1.73 | SUP Nautilus +1.46 | TOP Gnar -0.79 | JUNGLE Pantheon -0.52
