league,date,game,actual,preLine,postLine,draftDelta,draftSignal,deviation,absDeviation,isOverLine,draftConfidence,topPickEffects
LPL,2026-05-10,Ninjas in Pyjamas vs Weibo Gaming,33,25.5,25.5,-0.15,NEUTRO,7.5,7.5,true,0.867,TOP Varus +2.8 | SUP Milio -2.74 | ADC Lucian -1.96 | MID Azir +1.52 | JUNGLE Trundle -1.43
LPL,2026-05-10,Weibo Gaming vs Ninjas in Pyjamas,33,26.5,27.5,0.76,OVER,6.5,6.5,true,0.897,ADC Jhin +2.8 | MID Viktor +1.21 | JUNGLE Vi +0.91 | TOP Sion +0.82 | SUP Bard +0.82
LPL,2026-05-10,JD Gaming vs Anyone s Legend,29,26.5,26.5,0.44,NEUTRO,2.5,2.5,true,0.88,SUP Nautilus +1.68 | TOP Rumble +1.13 | ADC Varus +0.81 | JUNGLE Vi +0.72 | JUNGLE Naafiri -0.63
LPL,2026-05-10,Anyone s Legend vs JD Gaming,16,26.5,27.5,0.64,NEUTRO,-10.5,10.5,false,0.89,ADC Ashe +2.8 | SUP Milio -2.8 | MID Orianna +2.55 | ADC Lucian -2.33 | SUP Seraphine +2.11
LPL,2026-05-10,JD Gaming vs Anyone s Legend,20,25.5,26.5,1.15,OVER,-5.5,5.5,false,0.832,ADC Jhin +2.8 | MID Azir +1.5 | ADC Caitlyn -1.14 | TOP Gnar +1.13 | SUP Elise +1.08
LPL,2026-05-12,Ninjas in Pyjamas vs Top Esports,20,25.5,26.5,0.33,NEUTRO,-5.5,5.5,false,0.89,SUP Milio -2.6 | JUNGLE Lee Sin +1.83 | ADC Lucian -1.76 | TOP Gnar +1.31 | ADC Corki +1.14
LPL,2026-05-12,Ninjas in Pyjamas vs Top Esports,24,24.5,26.5,1.5,OVER,-0.5,0.5,false,0.899,MID Orianna +2.8 | MID Azir +1.98 | TOP Vayne +1.63 | JUNGLE Xin Zhao +1.51 | SUP Neeko +1.51
LPL,2026-05-12,Top Esports vs Ninjas in Pyjamas,31,24.5,26.5,1.48,OVER,6.5,6.5,true,0.865,ADC Jhin +2.8 | SUP Nautilus +2.67 | SUP Rell +2.34 | TOP Jayce +2.34 | MID Ryze +1.47
LPL,2026-05-12,Bilibili Gaming vs Invictus Gaming,32,25.5,25.5,0.04,NEUTRO,6.5,6.5,true,0.892,SUP Milio -2.58 | JUNGLE Pantheon +2.11 | JUNGLE Jarvan IV +1.89 | ADC Lucian -1.73 | TOP Gnar +1.33
LPL,2026-05-12,Invictus Gaming vs Bilibili Gaming,42,26.5,27.5,1.69,OVER,15.5,15.5,true,0.906,MID Orianna +2.59 | MID Viktor +1.65 | SUP Alistar +1.46 | JUNGLE Vi +1.37 | TOP Sion +1.27
